comment,sentiment
الله لايوفق كل ابن حرام إلو علاقة بتحويل النت لباقات,G
وشو كانت المناسبة بالله,G
رجعت من الدوام لقيت امي مرتبتلي الخزانة,P
مبارك بالتوفيق والنجاح الدائم,P
مابدك كمان نمرة رجلو,G
هالرسالة بتشجع ع الانتحار حتى ع يلي حياتو مستقرة وماشي حالها بكرا بتصير موضة ومين بقا قادر يأبدع برسالتو اكتر ويبكي ع حالو وهوي عم يكتبها وينتحر بعدا مباشره,G
حياتي بريحة الخرا حتى التفاصيل فيها بتخري,G
ما في رحمه من هل التجار كل واحد ببيع على كيفو,G
تماما فرحة أمي بتكفي,P
صار التنمر وتقليل الذوق ع الناس ع أصواتن وع لبسن وحكيهن والشي اللي بيحبوه شي عظيم ومن أساسيات الشهرة للأسف,G
اسرائيل دايق خلقا من صمودنا قالت تتحركشنا,G
عيش كتير بتسمع كتير ولسا فس شغلات اتفه من هيك بصير عليها مجازر,G
كل هالخناق ومافي كهربا لاتشغلو التلفزيون,G
الفكرة كانت من عدة اشخاص كتير عزيزين كانوورح يضل احلى ميلاد,P
اذا ارتكب مريض عقلي جريمة ما يستفيد من مانع عقاب ويفرض عليه تدبير احترازي  اي يوضع في مصح عقلي لإتقاء جرمه,N
أخر همك خالتوووو,G
اذا بيشوفو قديش اكلت عنب اليوم  بيعتبروني افجع انسان عسطح الكرة الأرضية,N
سامو زين قليله لعمار انه في بند ماعجبني انه اذا مااكلنا اللي عم نتوحم عليه بتطلع بعين الصبي قال خرافة لا مو خرافة,N
له يا زبلعحية له,G
عندي فستان كتير بحبو,P
تعو حبو البعبع معي,P
له له ليش ماما كلام مش بمحله مش الاقارب سيئين الوضع سيئ,N
وضريب إن شالله حاج حكي فاضي,G
انا بسقط حقي عنو كرمال العشره الي كانت بيناتنا,N
بروح عند ابني على المقبرة الله يرحمه الرحمن الرحيم ملاك السماء,G
الاعدام شنقا حتى الموت بيرجع بيتنفذ الحكم,N
احلى شي انو كلشي متوفر بالسوق السودا وبكميات هائلة,N
